Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,preso,brasil,lula,venezuela,maduro,cocaína,ego,éter,trump,provas,esquerdista,avião,cala,gay,sandice
Topico_2,jeronimocoll,maduro,bolsonaro,gayer,ladrão,hospital,povo,sofrimento,prisão,justiça,dançar,apoia,liberdade,americana,quase
Topico_3,assassino,pessoas,bem,preso,deputado,épico,matou,cadeia,lançamento,bêbado,cu,burro,soa,rolar,maduro
Topico_4,elonmusk,grok,sandice,star,dyva,xai,edilenekubiki,maloqueira,wild,run,caos,tortuguete,simulação,digital,praia
Topico_5,trump,xai,sandice,elonmusk,arcontes,genial,maloqueira,grok,ricardo,edilenekubiki,lula,energias,deus,brasil,drogado
