data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-09,@Carval59712Fbio @GayerGus Deus libertou o Povo sofrido da Venezuela.,1,,neutro,TOP 5
2026-01-06,@GayerGus @JeronimoColl https://t.co/4Vl1ryMSPA,1,,neutro,TOP 5
2026-01-05,"@GayerGus Tem mais criminosos ligados ao narco-tráfico, aqui no Brasil, que deveriam ter o mesmo destino...",1,,negativo,TOP 5
2026-01-05,"@GayerGus Quem está a falar, tu ou a bebida?",1,,neutro,TOP 5
2026-01-05,@GayerGus https://t.co/jjSJqmfxb5,1,,neutro,TOP 5
2026-01-09,"@GayerGus Deus , decretou o fim das forças do inferno,Maduro e mulher vão pagar pelos crimes cometidos,agora o Grande Presidente Trump vai Libertar o Povo brasileiro do Lula ladrão e do Alexandre de Moraes satanista filho de Satanás.",0,,negativo,BOTTOM 5
2026-01-08,@GayerGus Este homem matou 2 pessoas apostando racha bêbado,0,,neutro,BOTTOM 5
2026-01-08,@GayerGus Vc é um assassino seu desgraçado,0,,negativo,BOTTOM 5
2026-01-06,@GayerGus https://t.co/gD6ZOGdG4V,0,,neutro,BOTTOM 5
2026-01-06,@GayerGus Daqui 72 horas teremos notícias... senta e espera vai.....,0,,neutro,BOTTOM 5
