,count,mean,std,min,25%,50%,75%,max,moda
likes,1000.0,2.41,26.4829236536536,0.0,0.0,0.0,0.0,672.0,0.0
comentarios,1000.0,0.088,0.527763710892038,0.0,0.0,0.0,0.0,11.0,0.0
num_caracteres,1000.0,24.259,27.31611409203529,1.0,16.0,17.0,23.0,428.0,16.0
num_palavras,1000.0,4.738,5.015427251043574,1.0,4.0,4.0,5.0,80.0,4.0
num_emojis,1000.0,1.702,3.390677320638561,0.0,0.0,0.0,2.0,29.0,0.0
num_mencoes,1000.0,0.007,0.0834143750078963,0.0,0.0,0.0,0.0,1.0,0.0
prob_negativo,1000.0,0.06358014788432043,0.15470432762665418,0.0,0.0215970836579799,0.029510186985135,0.0352763198316097,0.9909507036209106,0.0325184352695941
prob_neutro,1000.0,0.5916849832190201,0.2596602256630048,0.0056474898010492,0.4093101844191551,0.6577953696250916,0.7842142581939697,1.0,0.7842142581939697
prob_positivo,1000.0,0.3447348645767197,0.2564792325577361,0.0,0.1693877577781677,0.2344432026147842,0.5125629156827927,0.990011990070343,0.1832672953605651
