data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-10,Tirem um tempo e orem! Orem! Orem!,672,11,neutro,TOP 5
2025-09-10,Fux honra a toga! Este me representa 🙏,340,5,positivo,TOP 5
2025-09-10,Parabéns Ministro!!!Honrado e verdadeiro!!!!🇧🇷🇧🇷🇧🇷,190,2,positivo,TOP 5
2025-09-10,Fux honra a Toga!!!,158,0,neutro,TOP 5
2025-09-10,Fux honra a toda 🇧🇷,148,3,positivo,TOP 5
2025-09-11,👏👏🇧🇷,0,2,positivo,BOTTOM 5
2025-09-11,FUX HONRA A TOGA!!!,0,0,neutro,BOTTOM 5
2025-11-23,Fux honra a toga!,0,0,neutro,BOTTOM 5
2025-11-17,Anistia já pra todos 🇧🇷🇧🇷🇧🇷,0,0,positivo,BOTTOM 5
2025-11-15,Fux honra a toga 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,0,positivo,BOTTOM 5
