Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,fux,ministro,parabéns,verdade,juiz,brasil,esquerda,justo,senhor,honrou,respeito,fim,verdadeiro,realmente,juntos
Topico_2,fux,bolsonaro,ministro,stf,parabéns,apoia,honrado,atoga,jesus,horra,deus,favor,fuxi,nome,salve
Topico_3,toga,honra,fux,toca,fuz,fix,juíz,dux,senhor,honesto,luis,lei,acordo,fim,brasil
Topico_4,fuxhonraatoga,honrar,fuxhonratoga,gusgayer,lei,brasil,toga,toca,fux,parabéns,fuz,dux,honra,fix,juíz
Topico_5,honrra,filho,demais,único,fuxhoratoga,onrra,voto,jurista,moraes,luiz,certo,fux,honesto,stf,ministro
