conta,frequencia
@realdonaldtrump,6
@gusgayer,5
@lulaoficial,5
@flaviobolsonaro,2
@gusgayer.br,1
@o,1
@rogerionumeriano,1
@belchiorvasconcelos,1
@joaojurema,1
@edsonvelosocosta,1
@henriquepsoares_,1
@ss,1
@ss1no.,1
@pablopop2,1
@marcorubio,1
@havaianas,1
@trump,1
@teamtrump,1
@secrubio,1
@S,1
@jeffreychiquini,1
@nicolasmaduro,1
@forodesaopaulo,1
@ptbrasil,1
