conta,frequencia
@nikolas_dm,828
@grok,39
@Comandolli7,30
@GellyAguiar,25
@robalo1102,20
@Morpheus1966_,13
@SeLigaFiel,11
@KelliCr12741724,9
@saaotomeee,9
@Desconh03148707,7
@barlatti,7
@Felipe20091381,7
@BigMike_real,6
@Junior__1_,6
@Bernard67563065,5
@apropriajulia,5
@DWirti,4
@diaphanumbrazil,4
@dioni_ps,4
@oiluiz,4
@kantuss1,4
@josephcam0le,4
@DomMik3y,4
@lourdes_ma12996,3
@POTUS,3
@Pauloar80012708,3
@Alexandre_Taka,3
@andrefernm,3
@Williammarley77,3
@JaneHelk,3
@PaulXbrow2,3
@detremura,3
@xorfreedom,3
@john_sotnas,3
@Luciano45592426,3
@CarolDeToni,3
@abluluble,2
@mewingdasilva,2
@Vinijeovano,2
@_John___X_,2
@ArturoMcfields,2
@SecRubio,2
@interes233,2
@jairbolsonaro,2
@GuilhermeGBorge,2
@joaoflorenciomv,2
@beellyssimaa,2
@lindberghfarias,2
@elonmusk,2
@lima_denis14650,2
@EuAlePavanelli,2
@adilsonesp,2
@agusantonetti,2
@Ney_RJ,2
@DiogoTarcan,2
@AnaCris53727087,1
@SouBozoBR,1
@AlandersonZdr,1
@Adriano43081557,1
@liviaderrota,1
@drika_oficiall,1
@AkikoMeku,1
@Guilhxrmr,1
@gabtarantiino_,1
@redetvgente,1
@skulled71,1
@dantasvinicius_,1
@joAlves2024,1
@DeniseC87622995,1
@Osmar43_Olivera,1
@psi_leandroM,1
@VendasAmem,1
@PAULOPARMM,1
@falecidolajes,1
@sandrabronzina,1
@VictoriaCa54391,1
@emd_worldwide,1
@EmbaixadaEUA,1
@JasonMiller,1
@PonsiAlex,1
@Gabi05527343087,1
@denirdesto,1
@marcorubio,1
@RepMariaSalazar,1
@RepMcCormick,1
@SenRickScott,1
@tedcruz,1
@berniemoreno,1
@shanejett,1
@MikeLeeforUtah,1
@CPAC⁷,1
@ConservativeFND,1
@mschlapp,1
@mercedesschlapp,1
@scrowder,1
@Bannons_WarRoom,1
@PBDsPodcast,1
@OANN,1
@TuckerCarlson,1
@TuckerOriginals,1
@EpochTimes,1
@epochtimes,1
@deaviddl,1
@Rosegoncalvesd,1
@douglas_ta60286,1
@Sisihele,1
@Amora_60_2020,1
@devpaoli,1
@CorreiaElisa02,1
@Dricawolf1,1
@Elainnefaria1,1
@Guilher06094403,1
@MarcioB92155384,1
@MBLNUCLEAR14,1
@Gcrespo_gb,1
@SecState,1
@realDonaldTrump,1
@andmrs_br,1
@nog_kkjk,1
@Pablaow,1
@marcondessv_adv,1
@guikilter,1
@Cdzinha_Fortal,1
@ThaisstarlingH,1
@Isac73554595027,1
@BrazilenDireita,1
@RacismoFree13,1
@joodolgan,1
@BLSwU,1
@BolsonaroSP,1
@FlavioBolsonaro,1
@baboo_ricardo,1
@bielconn,1
@FernandoHoliday,1
@Desesquerdizada,1
@grok.,1
@vozdopovobrazil,1
@fernandoulrich,1
@gb3020u,1
@SandraM305,1
@gabrielmxsa,1
@DepSostenes,1
@SenhorSonho,1
@IsraelMagma117,1
@Grok.,1
@ErtelNeusa,1
@da_jno8,1
@Alexandra7bjj,1
@Sr_Calazans,1
@saintliberte,1
@lesleyfernandes,1
@lucaspoleseES,1
@policiafederal,1
@JuniorFaF0,1
@zorakbr,1
@yumedenovo,1
@sonia_romanelli,1
@TEIXEIRATAVARES,1
@Alan_Santos_38,1
@p,1
@plzdcrf,1
@Flumininers49,1
@DamaDeFerroTV,1
@_flordehibisco_,1
@jussajs,1
@cristaodombl,1
@henriolliveira_,1
