Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,grok,gellyaguiar,música,robalo,morpheus_,nikolas,vou,bem,of,lado,obrigado,contra,voto,melhor,tira
Topico_2,deus,gigante,abençoe,parabéns,acordabrasil,nikolas,força,povo,comandolli,brasil,estado,juntos,liberdade,presidente,fé
Topico_3,bolsonaro,esquerda,comandolli,povo,caminhada,nikolas,direita,trabalhar,obrigada,vagabundo,líder,gado,foda,apropriajulia,bando
Topico_4,brasil,acorda,nikolas,presidente,povo,música,caminhada,parabéns,país,ferreira,justiça,barlatti,família,liberdade,futuro
Topico_5,bolsonaro,milhões,libertem,vagabundo,raio,master,nikolas,seligafiel,runaway,usando,west,tomar,kanye,lagoinha,banco
