frase,frequencia
acorda brasil,40
comandolli7 nikolas_dm,27
deus abençoe,24
nikolas_dm acorda,24
nikolas_dm deus,21
nikolas_dm parabéns,21
grok nikolas_dm,20
robalo1102 nikolas_dm,19
nikolas_dm nikolas,16
nikolas_dm grok,15
gellyaguiar grok,15
nikolas_dm milhões,13
libertem bolsonaro,13
nikolas_dm gigante,12
seligafiel nikolas_dm,11
gellyaguiar nikolas_dm,10
nikolas_dm vc,10
parabéns nikolas,10
nikolas_dm acordabrasil,10
saaotomeee comandolli7,9
kellicr12741724 gellyaguiar,8
nikolas ferreira,8
morpheus1966_ gellyaguiar,7
presidente brasil,7
nikolas_dm música,7
nikolas_dm vai,7
desconh03148707 robalo1102,7
barlatti nikolas_dm,7
banco master,7
nikolas_dm cara,6
bigmike_real nikolas_dm,6
futuro presidente,6
nikolas_dm obrigado,6
nikolas_dm vídeo,6
junior__1_ nikolas_dm,6
brasil acorda,5
bernard67563065 comandolli7,5
kanye west,5
nikolas_dm nunca,5
nikolas_dm brasil,5
música vídeo,5
povo brasileiro,5
nikolas_dm nikolas_dm,5
nikolas_dm esquerda,5
nikolas_dm orgulho,5
nikolas_dm amigo,4
nikolas_dm tudo,4
dwirti nikolas_dm,4
tomar cu,4
vai tomar,4
