palavra,frequencia
gayergus,529
bolsonarofree,130
bolsonaro,78
free,57
julgamento,28
moraes,24
prisão,23
stf,19
senado,18
preso,16
fim,15
deputado,13
voz,13
freebolsonaro,12
alexandre,12
tagliaferro,12
brasil,11
deus,11
galvaolaizah,10
bomba,10
acabou,9
justiça,8
cadê,8
verdade,7
perseguição,7
provas,7
acabar,7
gayer,7
depoimento,7
feito,7
suprema,6
cadeia,6
golpista,6
farsa,6
mrkmk,6
prender,6
senadores,6
ninguém,6
bem,6
alguém,6
urgente,6
homem,6
thiago,6
congresso,6
país,6
toga,5
fontes,5
bom,5
redes,5
contra,5
internet,5
ministro,5
processo,5
pgr,5
algo,5
continua,5
adianta,5
tomar,5
circo,5
eduardo,4
deveria,4
sai,4
bozo,4
levar,4
sério,4
gado,4
impeachment,4
mídia,4
deputados,4
xandão,4
parte,4
acontecer,4
segundo,4
cargo,4
cpi,4
vou,4
manda,4
quero,4
senador,4
coragem,4
somente,4
trump,4
quê,4
passa,4
sair,4
pior,4
rede,4
social,4
horas,3
anistia,3
vagabundo,3
esposa,3
pessoas,3
claro,3
gustavo,3
via,3
lei,3
direitos,3
humanos,3
sido,3
chega,3
acredita,3
denúncias,3
parlamentares,3
vao,3
quanto,3
elianebradv,3
posts,3
mundo,3
vdd,3
dando,3
golpe,3
ditadura,3
igual,3
república,3
kkkkkkkkkkk,3
certo,3
judiciário,3
chama,3
informações,3
bombásticas,3
merda,3
likes,3
saco,3
maioria,3
violência,3
doméstica,3
tse,3
cnn,3
grok,3
anistiajá,3
beber,3
ação,3
judicial,3
imediatamente,3
perder,3
esperança,3
pdf,3
angela_bast,3
farão,3
esperando,3
agir,3
exposto,3
blá,3
idiota,3
jeito,3
democracia,3
vergonha,3
sociais,3
simplesmente,3
prova,3
acontece,3
ditador,3
querendo,3
palavras,3
ordem,3
bandido,3
xandeamaral,3
porra,3
fazem,3
busca,3
apreensão,3
acaba,3
certeza,3
burunao_sccp,3
potus,3
dias,2
voto,2
espera,2
voces,2
vaza,2
adriana,2
deixa,2
conversa,2
direita,2
traidores,2
matar,2
presidente,2
androide_no,2
federal,2
processos,2
câmara,2
réu,2
fraude,2
processual,2
indicam,2
magnitsky,2
violações,2
desesperado,2
golpistas,2
impresso,2
sabem,2
covardes,2
omissos,2
usar,2
troca,2
mandar,2
crimes,2
parlamentar,2
dallagnol,2
realidade,2
tal,2
incrível,2
maior,2
bananas,2
condenação,2
batima,2
parece,2
solta,2
nenhuma,2
mentira,2
fonte,2
davialcolumbre,2
pedido,2
fiquei,2
cena,2
importante,2
brasileira,2
secrubio,2
destruiu,2
flagrante,2
postagens,2
sensacionalistas,2
like,2
ler,2
kkkkkkkkkkkkkkkk,2
herói,2
bolsonarista,2
eita,2
bêbado,2
ações,2
povo,2
notícias,2
ministros,2
parar,2
pensa,2
teatro,2
vidas,2
celsohsbc,2
seguidor,2
postar,2
dará,2
chorar,2
parabéns,2
cabeça,2
sujeito,2
power,2
point,2
supremo,2
colocar,2
papuda,2
publicações,2
kkkkkkkkkkkk,2
cai,2
kkkkkkkkk,2
importa,2
rapaz,2
preocupado,2
trabalhar,2
cambridge,2
lado,2
gonet,2
veio,2
morais,2
fatos,2
manifestações,2
emd_worldwide,2
ganha,2
moral,2
boca,2
vale,2
falando,2
leva,2
