data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-12,@GayerGus 🤣🤣🤣 voto esplêndido?? Pune os outros e inocenta o cabeça da trama? O mandante. https://t.co/2TSxVr9B3C,2,,positivo,TOP 5
2025-09-13,@GayerGus FUX HONRA A TOGA,1,,neutro,TOP 5
2025-09-12,@ElziAnanias @GayerGus O único Juiz real da Toga provou a Nulidade desse Processo - tirem as mãos do Bolsonaro..!,1,,negativo,TOP 5
2025-09-12,@UbaldoSimoes @GayerGus #MagnitskynaGlobo https://t.co/yMcD3Aio6F,1,,neutro,TOP 5
2025-09-12,@GayerGus FUX HONRA A TOGA,1,,neutro,TOP 5
2025-12-28,@GayerGus #fuzhonraatoga,0,,neutro,BOTTOM 5
2025-12-08,@GayerGus Fux honra a toga.,0,,neutro,BOTTOM 5
2025-11-01,@GayerGus FUX HONRA A TORGA,0,,positivo,BOTTOM 5
2025-10-31,@GayerGus PT PARTIDO DE TRAFICANTE,0,,negativo,BOTTOM 5
2025-10-31,@GayerGus #ptpartidodetraficante,0,,negativo,BOTTOM 5
