frase,frequencia
honra toga,420
fux honra,384
gayergus fux,330
toga fux,71
gayergus fuxhonraatoga,43
suprema perseguição,40
querem matar,36
matar bolsonaro,36
gayergus suprema,33
perseguição querem,31
gayergus fiz,22
fiz honra,22
gayergus fuxhonratoga,19
organização criminosa,18
líder organização,16
luizfclark gayergus,11
elziananias gayergus,9
gayergus honra,9
claudiorocha70 gayergus,9
ubaldosimoes gayergus,9
gayergus supremaperseguicao,9
nunesoliveira33 gayergus,8
supremaperseguicao queremmatarbolsonaro,8
criminosa líder,8
marilenesl gayergus,7
bolsonaro condenado,7
fabriciomello33 gayergus,6
bolsonaro suprema,6
gayergus querem,6
anula tudo,5
nandapatriota84 gayergus,5
bolsonaro cadeia,5
capitao_alden gayergus,4
gayergus fix,4
fix honra,4
cascorreia81 gayergus,4
gayergus sim,4
claudiogrx gayergus,4
vitorfelix87 gayergus,4
gayergus líder,4
criminosa bolsonaro,4
condenado líder,4
gayergus fuzhonraatoga,3
honra torga,3
gayergus cristalbr7,3
cristalbr7 fux,3
fux onra,3
toga fuxhonraatoga,3
gayergus lula,3
gayergus fuxhonraatogaanulatudo,3
