frase,frequencia
fux honra toga,379
gayergus fux honra,304
honra toga fux,71
toga fux honra,70
querem matar bolsonaro,34
gayergus suprema perseguição,32
suprema perseguição querem,31
perseguição querem matar,31
gayergus fiz honra,22
fiz honra toga,22
líder organização criminosa,16
gayergus honra toga,9
luizfclark gayergus fux,8
organização criminosa líder,8
criminosa líder organização,8
gayergus supremaperseguicao queremmatarbolsonaro,7
ubaldosimoes gayergus fux,6
bolsonaro suprema perseguição,6
elziananias gayergus fux,5
claudiorocha70 gayergus fux,5
marilenesl gayergus fux,5
gayergus querem matar,5
gayergus fix honra,4
fabriciomello33 gayergus fux,4
vitorfelix87 gayergus fux,4
gayergus líder organização,4
organização criminosa bolsonaro,4
criminosa bolsonaro condenado,4
bolsonaro condenado líder,4
condenado líder organização,4
gayergus cristalbr7 fux,3
capitao_alden gayergus fux,3
honra toga fuxhonraatoga,3
fix honra toga,3
nunesoliveira33 gayergus fuxhonraatoga,3
sorayarodr97633 gayergus fux,3
gayergus fux honrou,3
fux honrou toga,3
matar bolsonaro fux,3
bolsonaro fux honra,3
gayergus fux hora,3
fux hora toga,3
nunesoliveira33 gayergus fux,3
nandapatriota84 gayergus fux,3
gayergus fux verdadeiro,3
claudiogrx gayergus fux,3
fux honra torga,2
cristalbr7 fux honra,2
gayergus anula tudo,2
cascorreia81 gayergus fux,2
