id_post,rede,Média Likes,Negatividade
1,Instagram,272.6,0.10835659484534212
1,Twitter,0.31295843520782396,0.5333257113873143
2,Instagram,6.98,0.22909528893011155
2,Twitter,0.3801242236024845,0.43686935111695196
3,Instagram,7.397,0.08930726513464467
3,Twitter,1.1107011070110702,0.2843997701332385
