Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,trabalhar,família,eduardo,bolsonaro,cargo,deus,pf,dinheiro,honra,público,pai,contra,parabéns,lei,trabalho
Topico_2,bananinha,medo,preso,brasil,cassado,trabalho,cadeia,homem,abdicou,país,grok,pai,firme,eua,covarde
Topico_3,trabalhar,vagabundo,merda,lixo,canalha,emprego,trabalhou,ué,trabalha,escrivão,eua,recebendo,kkkkkkkkk,existe,dudu
Topico_4,trabalhar,honra,trabalho,marioadolfo,pai,traidor,pátria,bom,estado,salário,pedindo,perdeu,impostos,cryssue,ricardosagulo
Topico_5,marioadolfo,clarke_de_souza,trabalho,eduardo,brasil,povo,brasileiro,bandido,força,bem,vladimiralves,corre,patitricolor,crime,josjac
