frase,frequencia
bolsonarosp policiafederal vai,67
policiafederal vai trabalhar,53
vai trabalhar vagabundo,41
marioadolfo bolsonarosp policiafederal,26
bolsonarosp policiafederal vagabundo,25
bolsonarosp policiafederal vc,23
clarke_de_souza bolsonarosp policiafederal,17
vladimiralves bolsonarosp policiafederal,14
delaurentiis_br bolsonarosp policiafederal,13
bolsonarosp policiafederal força,12
bolsonarosp policiafederal tá,12
bolsonarosp policiafederal abdicou,10
bolsonarosp policiafederal honra,10
omardeideais bolsonarosp policiafederal,10
bolsonarosp policiafederal quer,10
bolsonarosp policiafederal cara,9
bolsonarosp policiafederal parabéns,9
bolsonarosp policiafederal volta,8
souflamengo8119 delaurentiis_br bolsonarosp,7
bolsonarosp policiafederal povo,7
bolsonarosp policiafederal trabalhar,7
bolsonarosp policiafederal tudo,7
patitricolor marioadolfo bolsonarosp,7
bolsonarosp policiafederal eduardo,6
bolsonarosp policiafederal pode,6
josjac5 bolsonarosp policiafederal,6
galizaar bolsonarosp policiafederal,6
policiafederal força eduardo,6
bolsonarosp policiafederal falou,6
ricardosagulo bolsonarosp policiafederal,5
vai ter trabalhar,5
policiafederal parabéns eduardo,5
tha_gasparetto bolsonarosp policiafederal,5
bolsonarosp policiafederal grok,5
viegastt souflamengo8119 delaurentiis_br,4
arturfernandop vladimiralves bolsonarosp,4
bolsonarosp policiafederal acho,4
bolsonarosp policiafederal perdeu,4
bolsonarosp policiafederal tão,4
np__oficial bolsonarosp policiafederal,4
bolsonarosp policiafederal fala,4
bolsonarosp policiafederal ué,4
bolsonarosp policiafederal kkkkk,4
bolsonarosp policiafederal mano,4
bolsonarosp policiafederal kkkk,4
bolsonarosp policiafederal risco,4
vagabundo vai trabalhar,4
grok bolsonarosp policiafederal,4
policiafederal quer continuar,4
bolsonarosp policiafederal lixo,4
