palavra,frequencia
bolsonarosp,809
policiafederal,803
trabalhar,194
vagabundo,122
eduardo,45
trabalho,44
família,34
pai,33
brasil,32
honra,31
bolsonaro,30
marioadolfo,30
cargo,29
eua,25
público,24
deus,21
bananinha,20
dinheiro,20
contra,19
povo,19
país,17
salário,17
clarke_de_souza,17
merda,16
deputado,15
força,15
vladimiralves,15
parabéns,15
preso,15
medo,15
perdeu,14
bem,14
bandido,14
delaurentiis_br,13
emprego,13
vida,13
mandato,13
omardeideais,13
lei,12
cassado,12
concurso,12
escrivão,12
abdicou,12
federal,12
homem,12
brasileiro,11
verdade,11
vergonha,11
trump,10
mundo,10
pátria,10
lixo,10
conta,10
volte,10
grok,10
gosta,9
trabalhe,9
servidor,9
covarde,9
filho,9
burro,8
falando,8
trabalha,8
mamata,8
dudu,8
cadeia,8
direita,8
trabalhou,8
viver,8
próprio,8
firme,8
estado,8
melhor,7
canalha,7
souflamengo,7
história,7
crimes,7
receber,7
golpista,7
recebendo,7
igual,7
demitido,7
abençoe,7
derrotados,7
bom,7
hein,7
traidor,7
pedindo,7
corre,7
fdp,7
gestapo,7
dias,7
mamar,7
mole,7
patitricolor,7
mamando,7
teta,7
prender,6
amigo,6
existe,6
presidente,6
crime,6
acabou,6
quanto,6
fundo,6
kkkkkkkkkk,6
fugiu,6
brasileiros,6
josjac,6
mal,6
hambúrguer,6
sai,6
impostos,6
falta,6
deveria,6
galizaar,6
fujão,6
deixa,6
bunda,6
nikolas,6
ferreira,6
safado,6
exonerado,6
continue,6
aeroporto,6
recebeu,6
reclamando,6
ninguém,6
liberdade,5
parte,5
tentou,5
demais,5
verme,5
perseguição,5
ricardosagulo,5
falso,5
ruim,5
papai,5
caro,5
nenhuma,5
sujeito,5
política,5
perdedor,5
colocar,5
pediu,5
frouxo,5
ditadura,5
manter,5
foda,5
tomar,5
kkkkkkkkk,5
caso,5
casa,5
funcionário,5
publico,5
vaga,5
ladrão,5
fugir,5
razão,5
trabalhando,5
tha_gasparetto,5
públicos,5
pilantra,5
arrombado,5
tetas,5
pessoas,5
governo,5
político,5
medeirosmaick,5
realmente,5
paga,5
chora,5
vagabundagem,5
larga,5
cryssue,5
caralho,5
chegou,5
perder,5
ponto,5
carteira,5
ajudar,4
viegastt,4
arturfernandop,4
território,4
moraes,4
desde,4
nacional,4
art,4
continua,4
cometer,4
privilégios,4
parlamentares,4
vontade,4
problema,4
np__oficial,4
pedir,4
pix,4
rato,4
fácil,4
trabalhador,4
inteligência,4
otário,4
direito,4
cagão,4
conspirar,4
maluco,4
querendo,4
assumir,4
exoneração,4
bosta,4
acabar,4
golpe,4
mimimi,4
licença,4
quero,4
contigo,4
função,4
risco,4
acaso,4
pagamento,4
irmão,4
obrigado,4
banana,4
moral,4
petista,4
fique,4
forte,4
pais,4
faça,4
vale,4
fazem,4
lula,4
policial,4
marcosvt_,4
polícia,4
vivendo,4
ora,4
parece,4
dallas,4
defende,4
junto,4
alergia,4
usa,4
normal,4
perseguido,4
louspensky,4
pediram,4
alérgico,4
defendendo,4
porra,4
serviço,4
preguiçoso,4
boa,4
pessoa,4
absurdo,4
abandono,4
esquerda,4
maduro,4
puta,4
gado,4
vaniafoortes,4
vou,4
pede,3
novo,3
abrir,3
estados,3
coragem,3
tortura,3
torturador,3
tornozeleira,3
soberania,3
pena,3
internet,3
férias,3
cair,3
posto,3
ficando,3
longe,3
super,3
recebe,3
deste,3
congresso,3
proteja,3
além,3
certíssimo,3
noção,3
usando,3
mão,3
cérebro,3
afastamento,3
daltonmachadog,3
ovo,3
maldito,3
kkkkkkkkkkkkk,3
dizendo,3
saída,3
maior,3
daqui,3
mentiroso,3
entregar,3
kkkkkkkkkkkk,3
jumento,3
livre,3
chorar,3
daí,3
gosto,3
custas,3
mentes,3
vive,3
meses,3
entende,3
décadas,3
simples,3
desempregado,3
conseguiu,3
mariaferrari,3
mauriciome,3
roubar,3
folha,3
patrão,3
exercer,3
sabem,3
foge,3
luta,3
certeza,3
cada,3
lutar,3
discurso,3
traidores,3
corruptos,3
lado,3
fugindo,3
resto,3
jonga,3
justiça,3
httpstcopuyblmuicr,3
jeito,3
fmodollo,3
culpa,3
foragido,3
oque,3
chamaram,3
prefere,3
atitude,3
fontes,3
papuda,3
espera,3
mês,3
certo,3
