Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,lindo,gigante,caminhada,presidente,orgulho,demais,emocionante,futuro,bom,povo,acordou,nikolas,país,força,davi
Topico_2,lula,maior,casa,melhor,cabeça,nikolasferreiradm,raio,vergonha,guerreiro,acima,presidente,deus,ninguém,simplesmente,bando
Topico_3,deus,nikolas,país,juntos,vida,jesus,glória,trabalhar,cada,incrível,nome,povo,senhor,história,precisamos
Topico_4,pessoas,cima,brasil,bora,direita,jesus,senhor,esquerda,lado,milhões,jamais,mundo,bandido,governo,coração
Topico_5,brasil,acorda,deus,abençoe,caminhada,nicolas,esquerda,nação,oq,coragem,viva,dias,parabéns,povo,brasileiro
