data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-25,Ser fosse pra ir trabalhar ninguém ia né ❤️🙌,1468,102,negativo,TOP 5
2026-01-25,"Realmente ele está mostrando o verdadeiro significado da fase: .. "" Verás que um filho teu não foge a luta""...🇧🇷🇧🇷🇧🇷",1018,3,positivo,TOP 5
2026-01-25,"Realmente ele está mostrando o verdadeiro significado da fase: .. "" Verás que um filho teu não foge a luta""...🇧🇷🇧🇷🇧🇷",1014,3,positivo,TOP 5
2026-01-26,nunca vi tanto desocupado num video so kkkk,674,28,negativo,TOP 5
2026-01-25,,459,6,neutro,TOP 5
2026-01-25,Gente eu sou de direta mais sou tão preguiço que no primeiro km eu já tinha desmaiado KKKKKKKKKK 💚🇧🇷,0,0,negativo,BOTTOM 5
2026-01-25,👏👏👏,0,0,positivo,BOTTOM 5
2026-01-27,"Povo brasileiro, acordam 🇧🇷💚🇧🇷. Precisamos nos posicionar, abram os olhos, senão a conta depois vem e vira muito cara.",0,0,neutro,BOTTOM 5
2026-01-27,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,0,positivo,BOTTOM 5
2026-01-27,🇧🇷💚💛,0,0,positivo,BOTTOM 5
