data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-18,Impeachment do Lula quem apoia?👉🏽👉🏽,2149,64,neutro,TOP 5
2026-01-21,Pra cima meu futuro presidente. 🇧🇷,570,5,positivo,TOP 5
2026-01-18,"Gosto do seu trabalho @nikolasferreiradm e por isso te sigo no Instagram, mas não sou refém da polarização. Um país não avança quando a política se resume a ‘combater o outro lado’. Direita e esquerda são correntes de pensamento, não times de futebol. Políticos, sejam de direita ou de esquerda, foram eleitos para servir à população, não para alimentar disputas ideológicas estéreis. O Brasil precisa de responsabilidade fiscal e responsabilidade social; de eficiência do Estado e de sensibilidade humana; de crescimento econômico e redução real da pobreza. Democracias maduras não funcionam na lógica do inimigo permanente, mas na capacidade de construir soluções. Quem ocupa cargo público deve trabalhar pelo país inteiro, inclusive por quem não votou nele. Ideologia não pode estar acima da realidade. O eleitor não quer guerra política: quer segurança, saúde, educação, emprego e dignidade. Governar é resolver problemas, não ganhar narrativas. Menos ideologia, menos brigas e mais trabalho, mais crescimento, mais desenvolvimento e mais resultados reais para o povo, que é quem verdadeiramente detém o poder de colocar vocês no cargo e também de retirá-los. O Brasil não precisa de guerras políticas permanentes, precisa de soluções. Governar é servir, não polarizar. 🧠👀🎯",464,49,positivo,TOP 5
2026-01-17,Cadê o vídeo de fundo preto sobre o Banco Master??,267,14,neutro,TOP 5
2026-01-20,Vamos tirar o Lula e o PT do Poder em nome de Jesus Cristo.,232,3,negativo,TOP 5
2026-01-25,"🇧🇷🇧🇷🇧🇷 Lula para sempre, Sempre Lula, Lula pátria amada Brasil🇧🇷🇧🇷🇧🇷🇧🇷",1,0,positivo,BOTTOM 5
2026-01-26,Faz um vídeo sobre seu primo e o Daniel Vorcaro também! Queria muito saber a respeito nicão 😂,4,0,neutro,BOTTOM 5
2026-01-27,Estamos com vc...juntos pela coragem e justiça!!!🇧🇷🇧🇷🙌🙌,7,1,positivo,BOTTOM 5
2026-01-19,🇧🇷 um Herói nasceu 🇧🇷🙌 Deus te ilumine Grande Homem 🇧🇷,8,3,positivo,BOTTOM 5
2026-01-21,👏👏👏👏👏👏🙌🇧🇷,13,0,positivo,BOTTOM 5
