Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,povo,juntos,pai,brasileiro,bem,brasil,trabalha,país,eduardo,presidente,acabou,brasileiros,tamos,trabalho,trabalhar
Topico_2,trabalhar,cargo,brasil,ninguém,trabalho,acima,receber,dinheiro,vergonha,público,cadeia,amém,direito,trump,país
Topico_3,bolsonaro,eduardo,brasil,força,presidente,perseguição,flávio,moraes,alexandre,lula,família,pf,ai,mal,maior
Topico_4,brasil,cima,conta,luta,firme,livre,desses,eua,chegou,ditadores,ditadura,vagabundos,absurdo,breve,preso
Topico_5,deus,abençoe,eduardo,família,bolsonaro,força,contigo,parabéns,jesus,proteja,senhor,brasil,venceremos,bolsonarosp,guerreiro
