data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-02,Os absurdos não param! Força @bolsonarosp! Deus te fortaleça e proteja sua família!,2896,166,positivo,TOP 5
2026-01-03,Cria vergonha nessa cara,562,14,negativo,TOP 5
2026-01-03,Tadinho de você….,518,8,negativo,TOP 5
2026-01-03,Qualquer servidor que falte ao seu trabalho tantos meses seguidos será exonerado. Porque deveria ser diferente no seu caso?,291,66,neutro,TOP 5
2026-01-03,"Sim, amigo. Tu quer ficar aí no exterior, sem trabalhar e sendo financiado pelo estado brasileiro? Tu tá acha que nós somos 1d10tas, é? Deixa de vag4bundagem e vem trabalhar, rapaz.",205,22,negativo,TOP 5
2026-01-15,Rapaz será possível que ninguém pode defender o povo brasileiro? Cadê o Congresso que foi eleito para defender nossos direitos? Ninguém faz nada e estamos vivendo uma ditadura. 🇧🇷,0,1,negativo,BOTTOM 5
2026-01-03,Absurdo. Querem vocês a qualquer custo,0,1,negativo,BOTTOM 5
2026-01-03,😂😂,0,0,positivo,BOTTOM 5
2026-01-06,E vergonhoso,0,0,negativo,BOTTOM 5
2026-01-27,Pra que falar que tem pistola.Pra meter medo kkkkkkkkkk,0,0,negativo,BOTTOM 5
