frase,frequencia
fake news,36
banco master,34
crime organizado,26
nikolas_dm mentiroso,20
nikolas_dm vai,20
eleitoralarmado nikolas_dm,20
receita federal,18
nikolas_dm nikolas,18
nikolas_dm vc,17
boscardin nikolas_dm,17
angelma_santos nikolas_dm,15
sobre banco,15
nikolas_dm cara,14
nikolas_dm tá,14
lavagem dinheiro,13
notherefascist eleitoralarmado,13
nikolas_dm grok,12
nikolas_dm vídeo,11
vai trabalhar,11
guedinhoefans nikolas_dm,11
instrução normativa,10
vídeo sobre,10
2805fabricio boscardin,10
vancmoreira nikolas_dm,9
nikolas ferreira,9
condado431 2805fabricio,9
nikolas_dm avisou,8
in 22782025,8
pix vai,8
igreja lagoinha,8
monitoramento pix,8
eloifg74 condado431,8
nikolas_dm pix,7
motlav1 eleitoralarmado,7
rodriguescaio85 nikolas_dm,6
nikolas_dm verdade,6
nikolas_dm parabéns,6
hugoapple72961 nikolas_dm,6
combater lavagem,6
vai falar,6
godoy_saulo nikolas_dm,6
nikolas_dm faz,6
sandrabrasilia nikolas_dm,6
helemazevedo nikolas_dm,6
nikolas_dm chupetinha,6
pastor igreja,6
pix banco,6
nikolas_dm aí,5
acima mil,5
nikolas_dm sim,5
