data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-03,"Não só a globo, mas a Record e a Band sustentam essa narrativa até hoje. Toda a mídia deveria sofrer sanções.",1557,42,negativo,TOP 5
2025-09-03,Parabéns pela postura meu amigo 👏🏻👏🏻👏🏻👏🏻,963,0,positivo,TOP 5
2025-09-03,A GLObis precisa conhecer a Lei Magnitsk global,937,2,neutro,TOP 5
2025-09-04,"Magnitsky já! Sou Professor, conservador, cristão e de direita. Trabalho diariamente convivendo e combatendo a militância de esquerda e posso enxergar, de dentro, o quanto o discurso de “tolerância”, “amor” e “inclusão” esconde imposição, censura, ódio e hipocrisia. Me posiciono com clareza, mesmo diante de ameaças, cancelamentos e perseguições. Já passei por inúmeros processos por perseguição, onde tentam não só retirar minha fonte de renda, mas minha paz e minha liberdade, tudo isso porque não aceito que manipulem as mentes das nossas crianças. Perdi muito por causa disso, mas ganhei algo que vale muito mais: minha consciência limpa e minha honra intacta. Estou aqui pelo meu país, pelo nosso presidente Bolsonaro e pelos valores que nos unem. Se tu também tem coragem de lutar pelo Brasil,valoriza a liberdade, a família e a verdade, me segue aí! CONTO COM VOCÊS! 🇧🇷💪🏼",484,28,negativo,TOP 5
2025-09-03,Magnitsky na Globo urgente!!!!!!,479,1,neutro,TOP 5
2025-09-06,@realdonaldtrump magnitisk na GLOBO Rede Globo,0,0,neutro,BOTTOM 5
2025-09-05,"Até a Record alimenta a narrativa os republicanos são coniventes com toda essa farça dizem q estão abandonando o barco, vamos acompanhar os próximos episódios.",0,1,negativo,BOTTOM 5
2025-09-05,Ja era....,0,0,neutro,BOTTOM 5
2025-09-20,Todas as emissoras que sustentam o governo têm que receber a magnistk.,0,0,neutro,BOTTOM 5
2025-09-17,São os povos mal instruídos,0,0,negativo,BOTTOM 5
