frase,frequencia
globo lixo,99
magnitsky globo,31
rede globo,29
rede esgoto,11
globo urgente,8
magnistik globo,8
concordo plenamente,7
lei magnitsky,7
william bonner,6
globo câncer,6
câncer brasil,6
assisto globo,6
graças deus,6
presidente bolsonaro,5
pura verdade,5
vai chegar,5
manda trump,5
globolixo globolixo,5
globo manipula,5
lula moraes,5
alexandre moraes,5
faz tempo,4
magnitsky rede,4
povo brasileiro,4
todas emissoras,4
jair bolsonaro,4
vai cair,4
redes sociais,4
lixo vai,4
dinheiro público,4
magnitsky globolixo,4
globo faz,4
deveria ter,4
outras emissoras,4
muitos anos,4
sofrer sanções,3
lei magnitsk,3
venha logo,3
globo vai,3
bem vinda,3
ditadura judiciário,3
acabar globo,3
alexandre morais,3
globo ja,3
assiste globo,3
globo base,3
assisto globolixo,3
globo todos,3
verdade globo,3
anos assisto,3
