,count,mean,std,min,25%,50%,75%,max,moda
likes,1000.0,5.666,69.76526095153403,0.0,0.0,0.0,0.0,1557.0,0.0
comentarios,1000.0,0.091,1.6165804441265308,0.0,0.0,0.0,0.0,42.0,0.0
num_caracteres,1000.0,50.751,95.6634124808826,0.0,15.0,28.0,58.0,2196.0,17.0
num_palavras,1000.0,8.122,15.57599845042775,0.0,1.0,4.0,10.0,357.0,1.0
num_emojis,1000.0,2.205,6.822721196452667,0.0,0.0,0.0,3.0,170.0,0.0
num_mencoes,1000.0,0.081,0.4032388889995625,0.0,0.0,0.0,0.0,6.0,0.0
prob_negativo,1000.0,0.43137949278519955,0.4270662084837342,0.0,0.029995005577802623,0.20580399036407465,0.9544340670108796,0.9934065341949464,0.0152934277430176
prob_neutro,1000.0,0.3518016513441689,0.3426281764447907,0.0031963442452251,0.024637867696583226,0.23629988729953766,0.6558022499084473,1.0,0.9160768985748292
prob_positivo,1000.0,0.21681885486631655,0.3031610650972412,0.0,0.008082973770797175,0.04761136136949055,0.3937457129359245,0.9933708906173706,0.0686297044157981
