frase,frequencia
presos políticos,25
bolsonarosp lulaoficial,19
janeiro 2026,11
bolsonarosp vídeo,10
phrodrigues_87 bolsonarosp,9
stellacstmo bolsonarosp,8
rafaellulista bolsonarosp,8
políticos venezuela,8
bolsonarosp oiluiz,7
vídeo 2024,7
bolsonarosp grok,7
flaviobolsonaro carlosbolsonaro,6
carlosbolsonaro mi_bolsonaro,6
liberações presos,6
grok bolsonarosp,6
bolsonarosp libertembolsonaro,6
bolsonarosp aqui,5
lulaoficial flaviobolsonaro,5
mi_bolsonaro jairbolsonaro,5
malheirosfilm bolsonarosp,5
bolsonarosp deus,5
aqui brasil,4
reuters bbc,4
após captura,4
vídeo mostra,4
novembro 2024,4
bolsonarosp presos,4
deus abençoe,4
fontes reuters,3
condelambreta bolsonarosp,3
bolsonarosp sim,3
2026 conforme,3
venezuela janeiro,3
eventos recentes,3
bolsonarosp fake,3
fake news,3
bolsonarosp trump,3
fontes cnn,3
cnn reuters,3
bolsonarosp graças,3
mostra momentos,3
governo interino,3
bolsonarosp bem,2
tá preso,2
bolsonarosp então,2
midoriafighter bolsonarosp,2
xprosahhh fran202210,2
fran202210 bolsonarosp,2
noeldelamare bolsonarosp,2
verifiquei fontes,2
