conta,frequencia
@BolsonaroSP,210
@LulaOficial,19
@grok,16
@phrodrigues_87,9
@stellacstmo,8
@RafaelLulista,8
@oiluiz,7
@FlavioBolsonaro,6
@CarlosBolsonaro,6
@Mi_Bolsonaro,6
@jairbolsonaro,6
@MalheirosFilm,5
@CondeLambreta,3
@realDonaldTrump,3
@Midoriafighter,2
@xprosahhh,2
@fran202210,2
@noeldelamare,2
@tais_negrao,2
@OlAsilva,2
@mariazinhaip,2
@Biakicis,2
@xandaosarcastic,2
@JailtonCab55472,1
@HAJ1961,1
@achcar24081,1
@DianaPrince1987,1
@PiecesRoger,1
@madrodz_,1
@flaviogordon,1
@MaryliBonoro,1
@AbelSequeira10,1
@AdatoArlete,1
@DaSilva44943,1
@sandrareginasar,1
@flamma_pacis,1
@zfabrogmailcom,1
@nunomiguelc,1
@FunkeiroSim,1
@jsalesdacunha,1
@Dirce8359Dirce,1
@ChefAri13,1
@KATIAGRUPOFAMI1,1
@Roberta_tras,1
@EstagiarioDaLei,1
@AgroHoje,1
@MarcoTuite,1
@Nei955,1
@BernadetteWalq,1
@Zpaess06,1
@lucaspoleseES,1
@maurarribeiro,1
@edivaldobarreto,1
@divinadomares,1
@gwkywivpzdfsIqr,1
