palavra,frequencia
bolsonarosp,210
presos,34
políticos,28
brasil,21
lulaoficial,19
venezuela,19
deus,18
grok,17
janeiro,12
fontes,11
phrodrigues_,9
maduro,9
trump,9
stellacstmo,8
rafaellulista,8
reuters,8
liberações,8
ditador,7
preso,7
oiluiz,7
flaviobolsonaro,6
carlosbolsonaro,6
mi_bolsonaro,6
jairbolsonaro,6
bbc,6
atual,6
mostra,6
povo,6
libertembolsonaro,6
bem,5
fake,5
bolsonaro,5
justiça,5
dias,5
relatórios,5
eventos,5
imagens,5
governo,5
malheirosfilm,5
país,4
parece,4
captura,4
algo,4
falta,4
ditadura,4
cnn,4
novembro,4
regime,4
libertados,4
brasileiros,4
prisão,4
golpe,4
graças,4
inocentes,4
abençoe,4
projeto,3
lula,3
verifiquei,3
condelambreta,3
conforme,3
confirmam,3
recentes,3
news,3
passado,3
misericórdia,3
afp,3
parabéns,3
cenas,3
atuais,3
pai,3
bananinha,3
momento,3
caso,3
esperança,3
alegria,3
brasileiro,3
poderia,3
realdonaldtrump,3
eua,3
mesma,3
democracia,3
esperando,3
momentos,3
contexto,3
interino,3
blah,3
ego,3
frente,3
pessoas,3
lado,3
informação,2
diferente,2
golpistas,2
verdade,2
cabeça,2
inteligente,2
burrice,2
tratamento,2
aconteça,2
vida,2
liberta,2
picareta,2
httpstcoicladfc,2
midoriafighter,2
xprosahhh,2
fran,2
kkkkkkkkkkkkkkk,2
antigo,2
noeldelamare,2
ocorreram,2
sido,2
libertações,2
acontecer,2
família,2
tais_negrao,2
olasilva,2
semelhantes,2
verificação,2
factual,2
veridatos,2
mariazinhaip,2
compilação,2
desde,2
segundo,2
direitos,2
acredita,2
soltar,2
obrigado,2
papuda,2
político,2
criminoso,2
soltem,2
falso,2
homem,2
estado,2
presidente,2
fizeram,2
contra,2
stf,2
atrás,2
novamente,2
gado,2
qqr,2
horas,2
familiares,2
política,2
glória,2
livres,2
imaginar,2
libertação,2
felicidade,2
politicos,2
fugiu,2
rato,2
traidor,2
venezuelana,2
opositores,2
liberdade,2
latindo,2
covarde,2
vagabundo,2
esquerda,2
eduardo,2
soltando,2
dizendo,2
libertar,2
biakicis,2
virou,2
igual,2
emocionais,2
reencontros,2
nicolás,2
tal,2
vivi,2
mimimi,2
bosta,2
abraços,2
moraes,2
acordo,2
cerca,2
externa,2
idiotas,2
faço,2
jamais,2
xandaosarcastic,2
informações,2
normal,2
dessas,2
bom,2
petróleo,2
óbvio,2
malfeito,1
situação,1
minta,1
cadeiasemanistiaparagolpistas,1
jailtoncab,1
protegendo,1
jura,1
funciona,1
mente,1
digo,1
macaco,1
consegue,1
raciocínio,1
httpstcomimcfglar,1
𝘌𝘳𝘳𝘰𝘳,1
𝘈𝘥𝘥,1
𝘺𝘰𝘶𝘳,1
𝘦𝘳𝘳𝘰𝘳,1
𝘮𝘦𝘴𝘴𝘢𝘨𝘦,1
𝘩𝘦𝘳𝘦,1
estude,1
inveja,1
sentindo,1
perseguições,1
tomou,1
rivotril,1
esquizofrenia,1
oremos,1
expôs,1
pera,1
palavrinha,1
pedir,1
chatgpt,1
sugerir,1
haj,1
gracias,1
chamou,1
isabel,1
veloso,1
emoionante,1
libertem,1
achcar,1
dianaprince,1
piecesroger,1
verme,1
prova,1
turma,1
acreditam,1
internet,1
mula,1
desculpe,1
confusão,1
noel,1
certeza,1
httpstcojqskafcr,1
últimos,1
relatos,1
bolsonarolivre,1
bolsonaroemcasa,1
liberdadeaospresospoliticos,1
madrodz_,1
httpstcoxztamgff,1
flaviogordon,1
valendo,1
caráter,1
bravo,1
igreja,1
lavada,1
sangue,1
cordeiro,1
triuno,1
ama,1
criação,1
apoiou,1
httpstcoypcbgnps,1
marylibonoro,1
congratulations,1
ahead,1
abelsequeira,1
menti,1
resposta,1
inicial,1
baseouse,1
adicional,1
confirmei,1
corrigi,1
atualizo,1
dados,1
adatoarlete,1
httpstcosfapltpw,1
dasilva,1
mosca,1
raptor,1
fazem,1
diferença,1
mentiu,1
anteriormente,1
fraptor,1
usar,1
lamber,1
rabo,1
sabujo,1
além,1
burro,1
apoia,1
continua,1
firme,1
ambas,1
datas,1
footage,1
anterior,1
washington,1
indicam,1
processo,1
andamento,1
estimativas,1
totais,1
variam,1
grupos,1
quantos,1
libertos,1
ocasião,1
gestos,1
boa,1
vontade,1
data,1
real,1
caiam,1
reduto,1
idiota,1
mentiras,1
httpstcoawsfhtjwxq,1
sandrareginasar,1
correção,1
checagens,1
chequeado,1
ocorrendo,1
detenção,1
flamma_pacis,1
jair,1
messias,1
presidiário,1
mandar,1
condenado,1
chupa,1
sao,1
lixo,1
defende,1
torturador,1
inclusive,1
parlamento,1
melhore,1
zfabrogmailcom,1
muda,1
kkkkkkkkkk,1
vêm,1
venha,1
aguardando,1
ansioso,1
sabemos,1
próximo,1
passo,1
fujão,1
voltado,1
quiz,1
quê,1
gravíssimo,1
cima,1
assassinar,1
república,1
justiciario,1
grave,1
heim,1
deixa,1
safado,1
nunomiguelc,1
