data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-11,"@BolsonaroSP O cara precisou usar um vídeo de 2024 pra lamber o rabo do Trump. É ser muito sabujo, além de burro. Trump apoia a ditadura do Maduro, tanto que o regime continua firme e no poder",47,,negativo,TOP 5
2026-01-11,@BolsonaroSP https://t.co/sFa5PLT4pW,22,,neutro,TOP 5
2026-01-10,@BolsonaroSP https://t.co/awsfHtjwxQ,11,,neutro,TOP 5
2026-01-09,@BolsonaroSP Espero que o Brasil viva também está alegria ter todos presos políticos livres. https://t.co/j7xusO4BuD,6,,positivo,TOP 5
2026-01-10,"@BolsonaroSP @BolsonaroSP , devia procurar ajuda, mentir virou uma prática rotineira em sua vida. Essa montagem é de 24. Falso igual a honestidade de seu brother.",3,,negativo,TOP 5
2026-01-28,"@BolsonaroSP Bem, o projeto malfeito de ditador tá preso 🙂",0,,negativo,BOTTOM 5
2026-01-14,@BolsonaroSP Informação fake. Não é dessa situação. Não minta!,0,,negativo,BOTTOM 5
2026-01-14,"@BolsonaroSP Mas aqui no Brasil é diferente, golpistas tem que estar na cadeia!!!🐂🐂🐂🐂🤮🤮🤮🤮🤮🤮🤡🤡🤡🤡🤡#semanistiaparagolpistas",0,,negativo,BOTTOM 5
2026-01-13,"@JailtonCab55472 @BolsonaroSP Então se falar a verdade sobre o Lula na sua cabeça estou protegendo o Bolsonaro, jura que é assim que funciona a sua mente??? Digo isso porque um macaco consegue ter um raciocínio mais inteligente que esse. https://t.co/MIMcFg3lar",0,,negativo,BOTTOM 5
2026-01-13,@phrodrigues_87 @BolsonaroSP @LulaOficial ❌ 𝘌𝘳𝘳𝘰𝘳 𝘈𝘥𝘥 𝘺𝘰𝘶𝘳 𝘦𝘳𝘳𝘰𝘳 𝘮𝘦𝘴𝘴𝘢𝘨𝘦 𝘩𝘦𝘳𝘦.,0,,neutro,BOTTOM 5
