data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-03,Ponto principal dito por @bolsonarosp : LULA TEM MUITO MEDO DE SER DELATADO POR MADURO!,5250,195,neutro,TOP 5
2026-01-03,Dia histórico para América Latina! Você faz parte dessa luta 👊👊🇺🇸🇺🇸🇧🇷🇧🇷,697,25,positivo,TOP 5
2026-01-03,Esse Eduardo nao cansa de passar vergonha. Dito isso Lula segue presidente do Brasil até 2030,618,40,negativo,TOP 5
2026-01-03,"Quando alguém que tem emprego e não trabalha, é o que mesmo? 😂",555,34,neutro,TOP 5
2026-01-03,Bolsonaro já parou de soluçar ?,394,64,neutro,TOP 5
2026-01-04,O Lula é amigo do Maduro! Dime com quem andas e te direi quem é... já dizia a minha vó! Só esperando o Maduro começar a cantar! 🇧🇷🇺🇸🙌🙏,0,1,neutro,BOTTOM 5
2026-01-27,Bolsonaro presidente,0,0,neutro,BOTTOM 5
2026-01-27,22 🙌🙌🇧🇷🔥,0,0,neutro,BOTTOM 5
2026-01-26,Agora nós vamos lembrar do dia 8 quando ele estendeu o tapete vermelho pro amigo,0,0,neutro,BOTTOM 5
2026-01-26,"E perigoso mesmo, pq se maduro der com a língua nos dentes, vai acabar com a comunidade comunista 😂😂😂😂 o c× do lula não esta passando nem uma agulha 😂😂😂😂😂",0,0,negativo,BOTTOM 5
