palavra,frequencia
lula,168
maduro,113
brasil,89
pai,62
trump,58
bolsonaro,57
venezuela,38
deus,34
preso,32
presidente,30
próximo,28
trabalhar,25
povo,25
medo,24
esquerda,23
cadeia,22
merda,21
mundo,20
petróleo,19
eua,19
the,19
bolsonarosp,17
prisão,17
cair,17
falta,15
eduardo,14
igual,13
ditador,13
moraes,13
livre,12
país,12
doente,12
golpe,11
vergonha,11
boca,11
liberdade,11
parabéns,10
deixa,10
pátria,10
família,10
força,10
not,10
covarde,10
breve,10
dois,10
china,10
melhor,9
presidiário,9
cansa,9
ninguém,9
traidor,9
ditadura,9
amigo,9
governo,9
delação,9
brasileiro,9
golpista,9
homem,9
flávio,9
junto,9
entregar,9
soberania,9
guerra,9
deputado,8
estados,8
cabeça,8
blá,8
mentiroso,8
perdeu,8
banana,8
venezuelano,8
alegria,8
alta,8
américa,7
tratar,7
alexandre,7
ganha,7
unidos,7
tentou,7
falando,7
narcotraficante,7
jesus,7
maior,7
ladrão,7
venha,7
vida,7
narrativa,7
discutir,7
crise,7
ditadores,7
tac,7
valores,7
parte,6
bom,6
dudu,6
boa,6
irmão,6
contra,6
chega,6
mil,6
fim,6
escala,6
imbecil,6
chegando,6
ovo,6
pior,6
bosta,6
direita,6
bandidos,6
cristo,6
realdonaldtrump,6
defendendo,6
and,6
she,6
acontecer,6
bico,6
deveria,6
chocolate,6
onu,6
rússia,6
criticam,6
dizem,6
conselho,6
segurança,6
reuniu,6
casa,6
tic,6
jeová,6
nossareversão,6
dito,5
muita,5
besteira,5
roubar,5
defende,5
conseguiu,5
defender,5
bozo,5
graças,5
dias,5
esperando,5
isenção,5
espero,5
horas,5
tomar,5
pessoas,5
desespero,5
urgente,5
doido,5
acredita,5
lulaoficial,5
bandido,5
with,5
but,5
this,5
verdade,5
democracia,5
cargo,5
morrer,5
nova,5
acordo,5
inferno,5
federal,5
deveriam,5
stf,5
dinheiro,5
narcotráfico,5
entrega,5
presos,5
dentro,5
bem,5
bíblia,5
drogas,5
geopolítica,5
vao,5
alguém,4
latina,4
tramp,4
segue,4
redes,4
sociais,4
palhaço,4
políticos,4
vive,4
fake,4
news,4
favor,4
rapaz,4
pena,4
cala,4
causa,4
dizia,4
começar,4
quanto,4
filho,4
xandão,4
céu,4
avião,4
quero,4
preocupa,4
nicolas,4
power,4
delcy,4
that,4
phase,4
idiota,4
kkkkkkkkk,4
chefe,4
estado,4
usar,4
defendeu,4
parece,4
gado,4
paulo,4
política,4
cima,4
lixo,4
eleições,4
última,4
mandato,4
gosta,4
salvar,4
explicar,4
podemos,4
brasileiros,4
abrir,4
safado,4
crime,4
fraude,4
certeza,4
salário,4
esquerdistas,4
paz,4
nação,4
exatamente,4
geral,4
delatar,4
ganhar,4
jumento,4
chorando,4
mental,4
nine,4
viva,4
esposa,4
dedos,4
continua,4
perpétua,4
abre,4
polícia,4
batata,4
assando,4
cagando,4
médicos,4
dado,4
coajidos,4
cirurgia,4
semana,4
sair,4
aceitar,4
istoseu,4
acordem,4
aprova,4
ferreira,4
cachaceiro,4
abençoe,4
canta,4
mão,4
delatado,3
emprego,3
soluçar,3
morais,3
inveja,3
argentina,3
direito,3
livres,3
delirando,3
piada,3
muitas,3
população,3
levar,3
implantar,3
cachorro,3
morte,3
filhos,3
sério,3
barba,3
pqp,3
presta,3
longe,3
patriota,3
choro,3
novo,3
bst,3
cocaína,3
aguardar,3
cassado,3
lembrar,3
acabar,3
passando,3
canalhas,3
muitos,3
capitão,3
nome,3
molusco,3
real,3
moral,3
now,3
its,3
maría,3
corina,3
control,3
edmundo,3
those,3
who,3
where,3
get,3
bora,3
ajuda,3
lulis,3
algo,3
cria,3
sozinho,3
sujo,3
foro,3
pau,3
liberta,3
venezuelana,3
eleição,3
coisas,3
medinho,3
doença,3
jair,3
ajudar,3
ajude,3
mãe,3
borrando,3
tomara,3
realmente,3
juntos,3
lei,3
recebeu,3
senhor,3
premiada,3
sabemos,3
justiça,3
cela,3
tirania,3
luladrao,3
burro,3
cérebro,3
regime,3
companheiro,3
lindo,3
escrivão,3
inclusive,3
tirar,3
misturou,3
bostonauro,3
flaviobolsonaro,3
assumir,3
mecânica,3
quântica,3
realidade,3
hcheliocouto,3
caminhodaspalestras,3
espera,3
buscar,3
marco,3
americanos,3
apoio,3
maluco,3
américas,3
apareceu,3
nove,3
vice,3
leva,3
amigos,3
responder,3
três,3
vencer,3
baba,3
urnas,3
libertação,3
caos,3
pegar,3
careca,3
prender,3
potus,3
tio,3
eleitoral,3
maravilha,3
história,3
pais,3
espírito,3
santo,3
resgate,3
tim,3
manda,3
primo,3
alma,3
sagrada,3
próximos,3
venezuelanos,3
ate,3
bolsonaroemcasa,3
babaca,3
mim,3
ponto,2
principal,2
trabalha,2
parou,2
conversa,2
mentir,2
cometer,2
começa,2
tava,2
infelizmente,2
destino,2
briga,2
mudar,2
futuro,2
vivo,2
envolvido,2
investigações,2
mente,2
saquear,2
inocente,2
asneira,2
bundao,2
precisam,2
troca,2
naturais,2
cuidar,2
virou,2
assunto,2
vejo,2
virando,2
pedindo,2
horror,2
respeito,2
latir,2
fácil,2
asneiras,2
irmãos,2
reeleito,2
acontece,2
fab,2
pouquinho,2
carne,2
caiu,2
vermelho,2
língua,2
dentes,2
comunista,2
pegando,2
corruptos,2
malditos,2
próprios,2
eleito,2
carniça,2
mané,2
papuda,2
queremos,2
neles,2
forma,2
ataque,2
chinês,2
interesses,2
quantidade,2
because,2
chavismo,2
transitions,2
you,2
whoever,2
can,2
put,2
out,2
fire,2
layer,2
why,2
three,2
doesnt,2
weapons,2
does,2
violence,2
popular,2
negotiations,2
are,2
água,2
petista,2
louco,2
mentindo,2
morar,2
janja,2
ruas,2
início,2
entregando,2
destruir,2
camisa,2
absolutamente,2
leão,2
lobo,2
perto,2
conspirações,2
atrás,2
únicos,2
cadela,2
solta,2
saiu,2
analfabeto,2
orando,2
suficiente,2
desgraça,2
países,2
americana,2
falso,2
avó,2
soluço,2
comer,2
caralho,2
patriotas,2
estaria,2
soltar,2
bomba,2
gostaria,2
rua,2
little,2
bando,2
mimimi,2
trás,2
digo,2
eduardobolsonaroofcl,2
nacional,2
lules,2
jamais,2
resgatar,2
pessoa,2
trabalho,2
sabem,2
parar,2
desempregado,2
quê,2
quadrilha,2
nenhum,2
momento,2
amor,2
salve,2
poderia,2
bosonario,2
prisao,2
internar,2
ler,2
paralelo,2
possa,2
rabo,2
largar,2
fundo,2
disposição,2
seguidores,2
bolsonario,2
tratamento,2
entrar,2
voto,2
base,2
raça,2
burra,2
tentativa,2
traidores,2
anêmico,2
dando,2
simples,2
papai,2
calado,2
atual,2
maiores,2
câncer,2
público,2
qdo,2
prestar,2
cada,2
psiquiatra,2
queda,2
bolsonarista,2
aguardando,2
torcendo,2
aprendeu,2
devia,2
preocupando,2
adianta,2
mesmos,2
paga,2
derrota,2
defesa,2
pros,2
estranho,2
monte,2
foda,2
sai,2
soluçando,2
dedo,2
hein,2
mandar,2
presidência,2
começou,2
frouxo,2
certo,2
corre,2
mandou,2
condenada,2
acredito,2
injustiça,2
rubio,2
deram,2
forças,2
tenente,2
coronel,2
retardado,2
continue,2
coming,2
brazilian,2
supreme,2
court,2
theyre,2
just,2
like,2
herói,2
quanta,2
internacional,2
grandes,2
bilhões,2
maldita,2
droga,2
eita,2
acabou,2
foragido,2
turma,2
obrigado,2
donald,2
passado,2
diferença,2
erro,2
passou,2
aberta,2
pede,2
corja,2
ditado,2
mau,2
provável,2
usa,2
propósito,2
saúde,2
apoia,2
deportado,2
brasília,2
flavio,2
entregou,2
existe,2
fiel,2
mira,2
terra,2
chorar,2
comemorando,2
peso,2
acusar,2
patriotário,2
hrs,2
tiro,2
mundial,2
pega,2
anistia,2
lógico,2
mito,2
companhia,2
familicia,2
pandemia,2
coloca,2
cortando,2
segundo,2
felicidad,2
les,2
pero,2
eso,2
traicionen,2
desde,2
forza,2
otario,2
escolher,2
lava,2
jato,2
demônios,2
confiar,2
olhos,2
virar,2
foralula,2
lulinha,2
perdedor,2
entregue,2
nesse,2
chegará,2
quilos,2
nikolas,2
tráfico,2
mulher,2
michelle,2
maria,2
firmo,2
comum,2
hugo,2
chaves,2
tormentos,2
eternos,2
voltando,2
porta,2
maioria,2
pecado,2
oculto,2
mentira,2
camarote,2
troxa,2
lulapresidenteoutravez,2
mal,2
resto,2
imagina,2
acaba,2
passa,2
avisa,2
sul,2
sofreu,2
esperança,2
barris,2
produção,2
putin,2
narco,2
estudar,2
