Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,lula,maduro,bolsonaro,venezuela,próximo,medo,brasil,preso,trump,petróleo,eua,ditador,esquerda,vergonha,pátria
Topico_2,maduro,lula,trabalhar,pai,igual,trump,deus,boca,cair,breve,mundo,merda,alegria,esquerda,preso
Topico_3,brasil,maduro,bolsonaro,livre,golpista,força,pai,trump,bolsonarosp,deus,parabéns,mentiroso,venezuela,próximo,bico
Topico_4,brasil,presidente,deus,povo,liberdade,bolsonaro,flávio,banana,jesus,vá,melhor,deixa,tratar,chocolate,cristo
Topico_5,lula,pai,trump,cadeia,the,merda,is,brasil,bolsonaro,moraes,alta,eua,dudu,deveria,and
