frase,frequencia
maduro vai,14
lula 13,12
vai cair,11
vai trabalhar,8
presidente brasil,7
estados unidos,7
vai entregar,7
tá preso,6
prisão maduro,6
lula 2026,6
jesus cristo,6
banana chocolate,6
lula moraes,6
onu brasil,6
brasil china,6
china rússia,6
rússia criticam,6
criticam eua,6
eua dizem,6
dizem guerra,6
guerra conselho,6
conselho segurança,6
segurança reuniu,6
reuniu hoje,6
hoje discutir,6
discutir crise,6
crise venezuela,6
povo venezuelano,6
tic tac,6
passar vergonha,5
traidor pátria,5
fala merda,5
blá blá,5
vai falar,5
falar merda,5
deveriam ter,5
lula tá,5
igual pai,5
vem brasil,5
venezuela livre,5
ja viu,5
américa latina,4
cansa passar,4
redes sociais,4
graças deus,4
família bolsonaro,4
bolsonaro presidente,4
flávio bolsonaro,4
lula vai,4
pai tá,4
