id_post,rede,Média Likes,Negatividade
1,Instagram,2.41,0.06358014788432043
1,Twitter,0.05492730210016155,0.20790703734871968
2,Instagram,21.89,0.19374433747527656
2,Twitter,0.2719298245614035,0.345354164445062
3,Instagram,5.666,0.43137949278519955
3,Twitter,0.3415559772296015,0.36916815298096944
