Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,deus,verdade,senhor,bolsonaro,nome,mito,nikolas,vida,carta,história,homem,fé,discurso,vergonha,nikolasferreiradm
Topico_2,preso,nikolas,chupetinha,verme,pec,deus,país,misericórdia,nicolas,bandidagem,amém,ferreira,contra,nação,blindagem
Topico_3,presidente,bolsonaro,deus,brasil,jair,melhor,semanistia,jairmessiasbolsonaro,povo,senhor,exército,messias,força,proteja,pátria
Topico_4,lula,brasil,bolsonaro,taxaçãodegrandesfortunas,semanistia,fimdaescalaxjá,semdosimetria,isençãodeimpostoderendajá,cassacaodacarlaxambelli,cassaçãodacarlazambelijá,cassacaodoeduardobolsonaroja,cassaçãodobananinha,davialcolumbre,taxaçãodossuperricosjá,hugomottapb
Topico_5,deus,palavras,deputado,pobre,política,povo,abençoe,justiça,projeto,brasil,país,família,projetos,favor,direita
