frase,frequencia
jair messias bolsonaro,10
davialcolumbre hugomottapb semanistia,10
hugomottapb semanistia semdosimetria,10
semanistia semdosimetria taxaçãodegrandesfortunas,10
semdosimetria taxaçãodegrandesfortunas taxaçãodossuperricosjá,10
taxaçãodegrandesfortunas taxaçãodossuperricosjá isençãodeimpostoderendajá,10
taxaçãodossuperricosjá isençãodeimpostoderendajá fimdaescala6x1já,10
isençãodeimpostoderendajá fimdaescala6x1já cassaçãodobananinha,10
fimdaescala6x1já cassaçãodobananinha cassacaodoeduardobolsonaroja,10
cassaçãodobananinha cassacaodoeduardobolsonaroja cassacaodacarlaxambelli,10
cassacaodoeduardobolsonaroja cassacaodacarlaxambelli cassaçãodacarlazambelijá,10
cassacaodacarlaxambelli cassaçãodacarlazambelijá lula2026,10
saiu exército expulso,6
melhor presidente brasil,5
tentou dar golpe,5
deus pátria família,4
deus misericórdia nação,4
deus abençoe presidente,4
dar golpe estado,3
presidente jair messias,3
nunca fez nada,3
presidente brasil jair,2
brasil jair messias,2
messias bolsonaro deus,2
voto pec blindagem,2
brasil acima tudo,2
acima tudo deus,2
tudo deus acima,2
deus acima todos,2
choro toda vez,2
toda vez assisto,2
ter consciência classe,2
pátria amada brasil,2
eterno presidente deus,2
27 anos cadeia,2
deus abençoe sempre,2
melhor presidente história,2
presidente história brasil,2
deus abençoe guarde,2
votou favor pec,2
bem sempre vence,2
sempre vence mal,2
faz vídeo assim,2
vídeo assim sobre,2
assim sobre fim,2
sobre fim saque,2
fim saque fgts,2
saque fgts vai,2
fgts vai prejudicar,2
vai prejudicar milhões,2
