Topico,Palavra_1,Palavra_2,Palavra_3,Palavra_4,Palavra_5,Palavra_6,Palavra_7,Palavra_8,Palavra_9,Palavra_10,Palavra_11,Palavra_12,Palavra_13,Palavra_14,Palavra_15
Topico_1,csforever,brasil,maduro,adrianobhavanas,vagabundo,direita,teme,ditador,kkkkkkkkkkk,defendendo,prisão,cadeia,maior,trabalhar,bolsonaro
Topico_2,csforever,trabalhar,bananinha,boca,bolsonaro,irmão,continua,gado,cala,kkkkkkkkk,kkkkkkkkkk,bozo,pf,vergonha,news
Topico_3,preso,pai,adrianobhavanas,bandido,esquerdista,brasil,merda,bolsonaro,covarde,estragado,burro,trump,mesmas,narrativas,sai
Topico_4,lula,trump,pai,povo,bolsonaro,adrianobhavanas,icemanbrasil,brasileiro,teme,maduro,mãe,eduardo,horas,medo,cadeia
Topico_5,adrianobhavanas,bananinha,defende,brasil,burro,bolsonaro,hehehe,família,escrivão,direita,maduro,venezuela,doente,foro,usa
