frase,frequencia
adrianobhavanas bolsonarosp nicolasmaduro,43
csforever19941 bolsonarosp nicolasmaduro,42
bolsonarosp nicolasmaduro lula,11
bolsonarosp nicolasmaduro vc,10
bolsonarosp nicolasmaduro vai,9
bolsonarosp nicolasmaduro nada,9
icemanbrasil bolsonarosp nicolasmaduro,7
bolsonarosp nicolasmaduro hahaha,6
bolsonarosp nicolasmaduro bananinha,6
bolsonarosp nicolasmaduro vem,6
bolsonarosp nicolasmaduro cara,5
nicolasmaduro lula teme,5
bolsonarosp nicolasmaduro teme,4
lula teme nada,4
bolsonarosp nicolasmaduro aqui,4
marcian87334 bolsonarosp nicolasmaduro,4
bolsonarosp nicolasmaduro lembrese,4
nicolasmaduro lembrese nunca,4
lembrese nunca esqueça,4
nunca esqueça disso,4
bolsonarosp nicolasmaduro sai,4
bolsonarosp nicolasmaduro olha,4
bolsonarosp nicolasmaduro hahahah,4
nicolasmaduro hahahah esquerdista,4
hahahah esquerdista burro,4
esquerdista burro sempre,4
burro sempre mesmas,4
sempre mesmas narrativas,4
mesmas narrativas pense,4
narrativas pense prega,4
pense prega estragado,4
bolsonarosp nicolasmaduro hehehe,3
bolsonarosp nicolasmaduro kkkkkkkkkkk,3
bolsonarosp nicolasmaduro defende,3
bolsonarosp nicolasmaduro tá,3
naimar_da bolsonarosp nicolasmaduro,3
bolsonarosp nicolasmaduro dudu,3
pai ta preso,3
marynicechris bolsonarosp tali_mito22,3
bolsonarosp tali_mito22 nicolasmaduro,3
raindangerso bolsonarosp nicolasmaduro,3
bolsonarosp nicolasmaduro bolsonaro,3
vai trabalhar vagabundo,3
bolsonarosp nicolasmaduro verdade,3
bolsonarosp nicolasmaduro kkkkkkkkkkkk,3
bolsonarosp nicolasmaduro fala,3
bolsonarosp nicolasmaduro certeza,3
bolsonarosp nicolasmaduro vagabundo,3
bolsonarosp nicolasmaduro pai,3
bolsonarosp nicolasmaduro medo,3
