data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-03,@BolsonaroSP @NicolasMaduro Bananinha ele não acabou com o narconaro https://t.co/PT3heNJJuQ,7,,neutro,TOP 5
2026-01-04,@BolsonaroSP @NicolasMaduro kkkkkkkkkkkk pqp mano,3,,negativo,TOP 5
2026-01-04,@BolsonaroSP @NicolasMaduro https://t.co/fcYuDcygNA,2,,neutro,TOP 5
2026-01-04,"@BolsonaroSP @NicolasMaduro Sai daí, frouxo. Vem encarar a justiça.",2,,negativo,TOP 5
2026-01-04,@BolsonaroSP @NicolasMaduro VTNC,2,,negativo,TOP 5
2026-01-25,@BolsonaroSP @NicolasMaduro 🤬🥵👹👺🎯,0,,neutro,BOTTOM 5
2026-01-10,"@BolsonaroSP @NicolasMaduro Fujão covarde, vem falar isso no parlamento . Voto jogado no 🚯",0,,negativo,BOTTOM 5
2026-01-07,@adrianobhavanas @BolsonaroSP @NicolasMaduro Hehehe. Com essa eleição vcs elegem até o cachorro caramelo. Coloca o voto auditável e vamos para total transparência e aí a gente conversa. Mas vcs não querem não é? https://t.co/50whKFSnhX,0,,neutro,BOTTOM 5
2026-01-07,@adrianobhavanas @BolsonaroSP @NicolasMaduro Veio. Tu não tem segurança. Não tem saúde. Não tem educação. Os manos estão lhe matando por causa de um celular e seu presidente defende isso. E você esta Gostando e achando bom. Não sou eu o sonhador. https://t.co/Vsq2UJCTFs,0,,negativo,BOTTOM 5
2026-01-06,"@BolsonaroSP @NicolasMaduro Não vai mudar nada no preço do pão. Como sempre, não acontece nenhuma das tuas alucinações aí na Disney.",0,,negativo,BOTTOM 5
