frase,frequencia
bolsonarosp nicolasmaduro,438
adrianobhavanas bolsonarosp,43
csforever19941 bolsonarosp,42
nicolasmaduro lula,11
nicolasmaduro vc,10
nicolasmaduro vai,9
nicolasmaduro nada,9
icemanbrasil bolsonarosp,7
nicolasmaduro hahaha,6
lula teme,6
nicolasmaduro bananinha,6
nicolasmaduro vem,6
nicolasmaduro cara,5
teme nada,5
vai trabalhar,5
tá preso,5
povo brasileiro,5
defendendo maduro,4
fake news,4
bolsonaro preso,4
nicolasmaduro teme,4
72 horas,4
nicolasmaduro fala,4
nicolasmaduro aqui,4
marcian87334 bolsonarosp,4
nicolasmaduro lembrese,4
lembrese nunca,4
nunca esqueça,4
esqueça disso,4
nicolasmaduro sai,4
vem trabalhar,4
teme prisão,4
cala boca,4
nicolasmaduro olha,4
pai tá,4
nicolasmaduro hahahah,4
hahahah esquerdista,4
esquerdista burro,4
burro sempre,4
sempre mesmas,4
mesmas narrativas,4
narrativas pense,4
pense prega,4
prega estragado,4
nicolasmaduro hehehe,3
ficar chorando,3
nicolasmaduro kkkkkkkkkkk,3
nicolasmaduro defende,3
nicolasmaduro tá,3
coreia norte,3
