,count,mean,std,min,25%,50%,75%,max,moda
likes,1000.0,1.694,20.10065671564988,0.0,0.0,0.0,0.0,527.0,0.0
comentarios,1000.0,0.115,2.347612891063236,0.0,0.0,0.0,0.0,68.0,0.0
num_caracteres,1000.0,45.75,107.71204846898692,0.0,9.0,25.0,56.0,2194.0,4.0
num_palavras,1000.0,7.996,20.056226869384886,0.0,1.0,4.0,10.0,414.0,1.0
num_emojis,1000.0,3.197,5.757894089364995,0.0,0.0,2.0,5.0,126.0,0.0
num_mencoes,1000.0,0.016,0.133273259740136,0.0,0.0,0.0,0.0,2.0,0.0
prob_negativo,1000.0,0.18577043394674547,0.3081883698966891,0.0,0.014099104329943575,0.0336215272545814,0.14909860864281646,0.991158664226532,0.0336215272545814
prob_neutro,1000.0,0.30768953841971236,0.2793707343197435,0.0050153560005128,0.0657297428697347,0.21494456380605695,0.46863504499197,1.0,0.2057840228080749
prob_positivo,1000.0,0.5065400274691637,0.3566399463615341,0.0,0.11728766933083529,0.5612530410289764,0.8460785150527954,0.9935436248779296,0.7605944275856018
